,Blockchain News,Cryptocurrency,Market,Day,Date,Open,High,Low,Close,Volume,daily_variance,daily difference,Trading_Volume,price_1month,price_2weeks_ago,price_1week_ago,price_2days_ago,price_1day_ago,price_1hour_ago,price_1hour_ahead,price_1day_ahead,price_2days_ahead,price_1week_ahead,price_2weeks_ahead,price_1month_ahead
0,81,5,520,2016-06-25,2016-06-25 23:00:00,665.15,665.15,665.15,665.15,3.0307994660000004,0.0,0.0,2015.9362648099002,31.701120048109445,7.656919491843937,-14.36367736600768,6.016687965120647,0.022551304217090472,0.0,0.024060512188148416,5.358613698282951,2.31502845716043,-4.977213960199435,1.831013946937326,1.3546460244415301
1,1310,96,6165,2016-10-21,2016-10-21 23:00:00,629.9,630.8,629.9,630.8,1.5553741209999998,0.8999999999999773,-0.8999999999999773,981.1299955267998,5.578630310716542,2.0846544071020894,-0.9717818642993018,0.29010779961951927,0.2853519340519903,0.14267596702599514,0.0,-3.8048036599313835,-3.0299303623310996,-8.445695873670163,-10.769100193795708,-13.27540695116587
2,1421,119,6757,2017-04-17,2017-04-17 23:00:00,1193.0,1194.21,1193.0,1193.81,118.11248429999999,1.2100000000000364,-0.8099999999999454,141003.86488218297,19.157989964902285,3.4234928506211117,-1.4097720742831905,1.6015948936597861,1.32349368827535,0.06784999287993446,-0.015075503144922793,-0.8463455149501706,-1.4561063188740846,-4.929482125650038,-17.14370983190128,-34.137164357790326
3,151,13,484,2016-08-23,2016-08-23 23:00:00,581.98,581.99,581.98,581.99,29.31213715,0.009999999999990905,-0.009999999999990905,17059.370699928502,-14.086152683035793,-0.8007010429732415,0.7354078248767114,0.3677039124383557,-0.8522483204178829,0.0017182425814860917,0.0,0.474760030384642,1.0451933260412838,0.821134690342141,-5.133011671122125,-2.1618895519878985
4,86,9,397,2016-04-27,2016-04-27 23:00:00,447.04,448.44,444.13,444.14,68.50118687,4.310000000000002,2.900000000000034,30424.117136441797,4.951141531949387,4.415274463007163,0.13509253838878865,-4.3567343630386866,-5.473499347052732,-0.6529472688791899,1.792262559589291,-1.0802022316755433,-2.767196462191862,-0.8616071428571459,-1.8431753889674753,-6.886936833057302
5,185,29,558,2019-03-28,2019-03-28 23:00:00,4010.34,4013.73,4009.64,4012.81,17.9389059586,4.0900000000001455,-2.4699999999998,71985.42121972966,5.303515491638033,3.910975102235094,0.9419832984865898,2.313092321839314,-0.3623396074072773,0.06155287691168533,-0.043342342230143764,-1.7123388329349027,-1.9838643097388209,-18.234073941251268,-20.454617537683266,-22.44548894704089
6,98,8,433,2018-10-01,2018-10-01 23:00:00,6563.76,6575.91,6543.38,6573.94,61.1934658089,32.529999999999745,-10.179999999999382,402282.17261976004,-9.465252192748956,4.903908462809201,-0.058412458890713115,-0.09552870881086008,-0.36507786806694315,0.15485386237171897,0.24168622266543238,1.1549682406814634,1.6698190681367118,-0.39484848484849094,2.1381783379322328,4.255913016724864
7,812,56,2449,2017-08-13,2017-08-13 23:00:00,4083.45,4083.96,4044.99,4046.34,178.49913930000002,38.970000000000255,37.10999999999967,722268.2073151622,45.30835273358145,32.037594468087214,20.45329853645517,10.042408695265358,4.52359416163743,-0.9171251056510246,-0.46246869726503215,-6.2978486904568936,-2.611412232480673,-0.08987698704684646,-6.785260131586221,-2.6280516417802704
8,1399,89,4823,2017-06-15,2017-06-15 23:00:00,2397.99,2422.34,2379.12,2416.16,893.3824473999999,43.220000000000255,-18.170000000000073,2158554.9341099835,26.755264552016417,0.15810211244287256,-15.886365141381372,-12.412257466392958,-1.796238659691415,0.7520197337924671,2.9541977902106216,-2.7561336853628706,-8.417733034143973,-10.165899508473444,-5.244539960547319,22.813545193001715
9,2159,136,7791,2017-06-14,2017-06-14 23:00:00,2412.46,2479.68,2412.46,2459.56,668.3396027000001,67.2199999999998,-47.09999999999991,1643821.3532168122,29.147083218136572,6.340158402315864,-9.369155458699932,-7.998991689570502,-10.428694563255217,1.9149766624924747,-0.017886178861790836,1.796238659691415,-1.009401764440721,-7.014479603795697,-3.734290422196733,11.140934744985323
10,1814,166,5645,2017-02-17,2017-02-17 23:00:00,1063.21,1063.84,1059.74,1059.75,111.33776929999999,4.099999999999909,3.4600000000000364,117990.20101567499,16.490681764567114,4.033970276008493,5.537154989384284,4.348195329087052,2.3986789337107877,-0.32649209719273753,0.07365647752060707,-0.008491847826079235,0.4769038228155314,-10.472915892271823,-17.7199956521064,4.860334642747594
11,1875,136,6445,2017-02-16,2017-02-16 23:00:00,1034.38,1036.6,1034.33,1034.33,126.9685488,2.269999999999982,0.0500000000001819,131327.37908030397,12.38869606411879,2.6113522763527963,4.411551439095829,2.050602805680965,1.9974282869103643,-0.004834047160981689,-0.44947064485082505,-2.3986789337107877,-2.40696708937198,-12.420619464530665,-17.923996794185104,7.1733499119262145
12,173,18,561,2016-12-19,2016-12-19 23:00:00,790.19,790.2,790.19,790.19,19.75144442,0.009999999999990905,0.0,15607.3938662398,4.968425315430479,4.646983636846837,1.335121932699739,0.10124147356965643,-0.0037965552588583398,0.0,0.026582951467130356,-1.344636436276466,-4.765405613874388,-12.76137693479652,-22.54785685580702,-10.71198544616323
13,339,112,1064,2016-12-18,2016-12-18 23:00:00,790.12,790.22,790.11,790.22,34.00504358,0.11000000000001364,-0.10000000000002274,26871.4655377876,5.090987319986842,3.1041988307053696,2.465136291159426,0.9794740705120104,0.10503404115310179,0.01265470375338801,-0.020243427212223004,0.0037965552588583398,-1.3408909308829415,-11.902160583290595,-20.864836716504602,-12.797536940376744
