,Day,SVI,Close
226,2016-08-14,2.0,571.7
227,2016-08-15,1.24,568.18
228,2016-08-16,1.2,577.71
229,2016-08-17,1.28,574.83
230,2016-08-18,1.2,574.08
231,2016-08-19,1.28,573.7
232,2016-08-20,1.2,580.21
233,2016-08-21,2.0,579.85
234,2016-08-22,2.1153846153846154,586.95
235,2016-08-23,2.3461538461538463,581.99
236,2016-08-24,2.1153846153846154,579.24
237,2016-08-25,2.269230769230769,575.97
238,2016-08-26,2.1923076923076925,578.17
239,2016-08-27,2.076923076923077,569.82
240,2016-08-28,2.0,572.99
241,2016-08-29,2.4545454545454546,573.35
242,2016-08-30,2.3636363636363638,577.25
243,2016-08-31,2.6363636363636362,577.35
244,2016-09-01,2.5454545454545454,571.74
245,2016-09-02,2.5,575.99
246,2016-09-03,2.4545454545454546,600.0
247,2016-09-04,3.0,607.67
248,2016-09-05,2.0666666666666664,606.3
249,2016-09-06,1.9,613.48
250,2016-09-07,2.0666666666666664,616.06
251,2016-09-08,2.4,625.69
252,2016-09-09,2.2,621.9
253,2016-09-10,2.1,622.99
254,2016-09-11,2.0,605.76
255,2016-09-12,1.84375,607.98
256,2016-09-13,2.125,607.59
257,2016-09-14,1.90625,609.39
258,2016-09-15,1.84375,606.09
259,2016-09-16,1.90625,607.94
260,2016-09-17,1.71875,606.38
261,2016-09-18,2.0,608.99
262,2016-09-19,1.9642857142857142,608.99
263,2016-09-20,2.321428571428571,598.51
264,2016-09-21,2.25,595.61
265,2016-09-22,2.107142857142857,594.85
266,2016-09-23,1.9642857142857142,601.33
267,2016-09-24,2.1785714285714284,601.32
268,2016-09-25,2.0,599.99
269,2016-09-26,2.307692307692308,607.1
270,2016-09-27,1.8846153846153848,604.9
271,2016-09-28,2.1153846153846154,604.24
272,2016-09-29,1.9615384615384617,604.87
273,2016-09-30,2.230769230769231,608.98
274,2016-10-01,2.3461538461538463,614.04
275,2016-10-02,2.0,610.4
276,2016-10-03,2.0754716981132075,612.96
